	controlA	controlB	thrombinA	thrombinB	thrombinC
RACGAP1	874	862	833	739	855
CERS5	890	839	1056	898	1014
LIMA1	2507	2411	1979	1680	1932
MIR1293	0	0	0	0	0
FAM186A	0	3	0	0	0
SLC11A2	837	861	1024	833	1019
CSRNP2	1352	1297	1608	1336	1575
TFCP2	535	563	487	392	417
POU6F1	225	184	182	168	151
SMAGP	328	298	357	291	343
BIN2	1	0	0	0	1
CELA1	0	1	0	0	0
GALNT6	3087	3219	4362	3870	4276
FIGNL2	12	14	20	31	11
KRT80	251	274	225	155	206
C12orf80	0	0	0	0	0
KRT81	2	0	0	0	0
KRT83	0	0	0	0	0
KRT85	0	0	0	0	0
KRT84	0	0	0	0	0
KRT82	0	0	0	0	0
KRT75	0	0	0	0	0
KRT6B	0	0	0	0	0
KRT6C	0	0	0	0	0
KRT6A	0	0	0	0	0
KRT5	0	0	0	0	0
KRT71	0	0	0	0	0
KRT74	0	0	0	0	0
KRT72	0	0	0	0	0
KRT73	0	0	0	0	0
KRT2	1	1	0	0	0
KRT1	0	0	0	0	0
KRT77	0	0	0	0	0
KRT76	0	0	0	0	0
KRT3	0	0	0	0	0
KRT4	1	0	0	0	0
KRT79	3	2	0	1	0
KRT78	0	1	0	0	0
KRT8	783	757	652	656	659
LOC283335	85	66	48	46	40
SPRYD3	871	815	1251	1138	1158
CSAD	205	191	69	65	62
ITGB7	7	3	1	2	0
RARG	132	164	167	166	184
AAAS	619	605	600	580	651
SP7	0	0	0	0	0
MAP3K12	698	706	565	512	579
NPFF	47	47	11	21	12
ATF7	1792	1746	1769	1463	1675
ATP5G2	2742	2754	3018	2716	2895
CALCOCO1	1381	1362	1054	986	1045
CISTR	0	0	0	0	0
HOXC13-AS	0	0	0	0	0
HOTAIR	0	0	0	0	0
HOXC-AS3	0	0	0	0	0
HOXC-AS2	0	0	0	0	0
HOXC-AS1	0	0	0	0	0
LOC100240735	0	0	0	0	0
SMUG1	157	174	211	153	191
CBX5	3230	3321	2232	1680	2111
MIR3198-2	0	0	0	0	0
NFE2	0	0	0	0	0
GPR84	2	0	0	0	1
ZNF385A	97	86	106	83	114
ITGA5	71987	72568	107061	93965	102650
GTSF1	0	0	0	1	0
PPP1R1A	0	0	0	0	0
GLYCAM1	0	0	0	0	0
LACRT	0	0	0	0	0
DCD	0	0	0	0	0
TESPA1	0	0	0	0	0
OR6C6	0	0	0	0	0
OR6C70	0	0	0	0	0
ITGA7	6	8	2	3	4
CD63	12992	12694	16587	14321	16095
SARNP	1154	1118	854	650	803
DNAJC14	914	906	1133	950	1113
MMP19	157	164	175	129	149
WIBG	253	256	316	293	272
PMEL	7	10	9	5	9
SMARCC2	2293	2045	2074	1798	1938
RNF41	1205	1219	1358	1125	1308
ANKRD52	3012	3123	3399	3040	3367
CS	5811	5764	6916	5794	6792
CNPY2	0	0	0	0	0
PAN2	272	262	176	145	168
STAT2	2038	2153	1598	1402	1658
APOF	0	0	0	0	0
TIMELESS	734	751	691	576	645
MIP	3	2	2	1	2
GLS2	21	8	8	4	6
BAZ2A	4200	4054	4311	3696	4254
ATP5B	10198	10917	13573	11643	13294
SNORD59B	3	0	1	0	0
SNORD59A	6	3	2	2	4
PTGES3	4506	4741	4328	3383	4284
NACA	7325	7249	4780	4114	4790
PRIM1	59	63	48	22	44
SDR9C7	0	0	0	0	0
RDH16	1	2	1	0	1
ZBTB39	289	293	371	299	339
TAC3	0	1	0	0	0
MYO1A	0	1	0	0	0
TMEM194A	938	940	729	507	636
STAT6	4903	4727	5766	5219	5546
NDUFA4L2	1	2	2	4	3
STAC3	9	8	2	1	3
R3HDM2	578	643	570	520	558
ARHGAP9	10	10	6	5	5
DDIT3	379	396	296	263	324
DCTN2	3475	3381	4290	3670	4121
LOC101927583	1	0	0	1	0
B4GALNT1	4	4	8	9	6
AGAP2	296	289	417	404	405
CDK4	2662	2827	3491	3028	3364
MIR6759	1	0	1	1	1
CYP27B1	16	18	7	12	15
METTL1	130	132	197	147	160
AVIL	36	53	29	30	18
CTDSP2	4327	4356	5208	4465	4928
MIR26A2	0	0	1	0	0
LOC100506844	43	49	43	29	32
LOC101927653	0	0	0	0	0
LRIG3	415	393	338	315	341
FAM19A2	1	1	1	0	0
C12orf61	8	6	9	14	8
PPM1H	92	88	228	202	212
AVPR1A	1	0	0	0	0
DPY19L2	19	18	4	4	1
C12orf66	39	29	42	39	51
C12orf56	1	0	0	0	0
MIR548Z	0	0	0	1	0
GNS	13306	13767	15855	13101	15596
WIF1	0	0	1	0	0
LOC100507065	14	17	15	15	10
RPSAP52	14	11	19	11	14
LOC100129940	7	13	9	3	2
MIR6074	0	0	0	0	0
LLPH	616	540	440	320	426
TMBIM4	750	737	839	689	810
GRIP1	1	2	0	0	1
LOC102724421	0	0	0	0	0
LOC101927901	1	0	0	0	0
IFNG	0	0	0	0	0
IL26	0	0	0	0	0
IL22	0	0	0	0	0
MDM1	206	184	61	52	52
LOC100507195	0	0	0	0	0
SNORA70G	0	1	0	0	0
LOC100507250	2	2	0	0	0
LOC100130075	0	0	1	0	1
CPM	23	29	12	5	6
MIR1279	10	7	1	2	2
MIR3913-1	0	0	0	0	0
LRRC10	0	0	0	0	0
BEST3	4	6	2	0	2
LOC101928002	0	1	0	0	0
LOC101928062	26	37	25	26	31
PTPRB	7616	7792	7039	5791	6677
PTPRR	41	49	28	23	35
TSPAN8	0	0	0	0	0
ZFC3H1	1299	1344	304	243	290
MRS2P2	1	5	0	0	0
TRHDE-AS1	0	0	0	0	0
LOC100507377	0	0	0	0	0
KCNC2	0	0	0	0	0
CAPS2	2	7	0	2	1
KRR1	1290	1272	698	600	694
PHLDA1	4008	3924	3441	2998	3437
NAP1L1	10417	10091	6275	5127	6122
BBS10	268	277	109	98	127
OSBPL8	2097	2007	520	433	493
CSRP2	41	48	66	55	73
E2F7	2883	2933	3823	3210	3863
PAWR	1160	1229	729	624	742
PPP1R12A	1571	1510	447	418	465
LIN7A	1	1	0	0	0
MIR617	0	0	0	0	0
MIR618	0	0	0	0	0
PPFIA2	1	0	0	0	0
CCDC59	335	274	185	136	156
SLC6A15	394	406	282	257	274
TSPAN19	0	1	1	2	0
RASSF9	59	64	16	15	14
MGAT4C	4	7	4	0	1
MIR548AL	0	0	0	0	0
MKRN9P	0	1	0	0	1
C12orf50	0	1	0	0	1
CEP290	757	679	98	86	99
KITLG	2690	2740	2215	1865	2290
LOC728084	3	0	1	2	0
DUSP6	2188	2133	2810	2417	2787
POC1B	406	365	305	283	311
GALNT4	30	26	39	26	28
POC1B-GALNT4	0	0	0	0	0
ATP2B1	1139	1116	730	595	768
CCER1	0	0	0	0	0
EPYC	0	0	0	0	1
KERA	0	0	0	0	0
LUM	2	1	0	0	0
DCN	0	0	0	0	0
C12orf79	10	13	3	1	5
BTG1	9	3	2	0	2
CLLU1OS	5	1	0	2	2
EEA1	2109	1925	322	261	308
LOC643339	6	2	0	0	2
UBE2N	1582	1507	1727	1366	1568
SOCS2-AS1	9	10	4	3	4
LOC101928731	0	0	0	0	0
CEP83	134	109	30	22	31
TMCC3	941	956	901	751	887
MIR7844	0	0	0	0	0
NDUFA12	1039	1001	1018	755	967
NR2C1	518	454	201	191	216
FGD6	1033	1001	400	314	419
USP44	11	6	1	1	3
NTN4	12760	13144	9633	8239	9705
CCDC38	0	1	0	0	0
HAL	8	5	1	3	3
LTA4H	1774	1722	1422	1163	1437
CDK17	3687	3885	2799	2213	2724
LOC643711	0	0	0	0	0
MIR4303	0	0	0	0	0
SLC9A7P1	25	25	35	21	10
LOC643770	1	0	1	0	0
TMPO-AS1	144	141	127	104	105
IKBIP	1654	1694	1036	871	1073
ANKS1B	129	116	63	48	49
UHRF1BP1L	399	379	149	93	114
GOLGA2P5	0	1	0	0	2
DEPDC4	2	4	2	2	1
SLC5A8	0	0	0	0	0
ARL1	1397	1316	1154	875	1101
SYCP3	38	54	73	66	85
GNPTAB	2006	1926	907	717	856
CCDC53	223	181	162	129	161
NUP37	313	365	279	246	259
PMCH	89	81	68	49	74
IGF1	31	37	20	15	12
LINC00485	0	0	0	1	0
PAH	0	0	0	0	0
C12orf42	0	0	0	0	0
NT5DC3	167	173	137	124	135
GNN	2	6	1	2	1
C12orf73	106	90	97	95	105
GLT8D2	27	20	25	20	11
NFYB	297	297	164	117	155
SLC41A2	370	323	378	307	407
ALDH1L2	345	311	202	180	208
APPL2	305	297	273	219	236
NUAK1	3683	3704	3191	2684	3103
CKAP4	10515	10314	14145	12200	13837
LOC100287944	9	13	9	11	9
LOC100505978	0	1	0	0	0
MTERFD3	151	135	46	39	50
CRY1	640	641	580	466	526
PRDM4	1455	1343	1363	1113	1267
LOC728739	1	0	0	0	1
CMKLR1	0	2	1	0	0
LOC102723562	0	0	0	0	0
SART3	995	860	931	833	897
TMEM119	0	0	0	0	0
SELPLG	29	31	37	22	35
CORO1C	5453	5571	7298	6228	7260
SSH1	3010	3081	5404	4516	5263
SVOP	0	0	0	0	0
USP30-AS1	4	2	5	6	5
ALKBH2	50	54	52	45	46
FOXN4	0	0	0	0	0
LOC101928138	0	0	0	0	0
KCTD10	2663	2651	3338	2959	3273
MMAB	247	263	222	212	237
FAM222A-AS1	0	1	0	0	0
TRPV4	181	188	246	180	223
GLTP	1213	1166	1579	1340	1531
GIT2	2367	2216	1953	1694	1912
C12orf76	116	120	109	91	123
ANAPC7	941	936	863	723	885
ARPC3	5050	4836	4641	3927	4482
GPN3	362	355	272	243	315
VPS29	1235	1345	1273	984	1223
PPTC7	475	430	507	381	500
HVCN1	58	67	69	50	70
PPP1CC	2289	2347	1948	1503	1922
MYL2	4	4	3	3	4
FAM109A	341	357	432	442	438
ATXN2	1065	1061	1007	839	983
BRAP	575	543	499	436	469
MAPKAPK5-AS1	280	311	219	176	246
TMEM116	20	18	19	12	19
NAA25	713	680	358	292	336
HECTD4	1916	1897	1967	1737	1996
MIR6861	0	0	0	0	0
RPL6	12019	11591	10053	8233	9501
RASAL1	0	0	0	0	0
DDX54	1245	1246	1545	1521	1543
MIR7106	0	0	1	0	1
IQCD	6	5	5	4	6
SLC8B1	661	718	907	838	846
SDS	0	2	0	1	0
LHX5	0	0	0	0	0
LINC01234	0	0	1	0	0
RBM19	765	803	890	801	884
TBX5	0	1	0	0	0
TBX3	147	158	167	176	166
MED13L	1985	2017	1838	1536	1868
MIR620	0	0	0	0	0
MIR4472-2	0	0	0	0	0
C12orf49	1029	972	1359	1096	1283
HRK	0	0	0	0	0
LOC100506551	42	37	40	51	36
TESC	3	0	2	4	1
FBXO21	997	1062	936	831	961
NOS1	2	1	0	0	0
KSR2	434	419	300	257	280
WSB2	2210	2117	2752	2322	2674
VSIG10	517	476	435	349	402
TAOK3	956	857	543	452	559
LINC00934	0	0	0	0	0
CIT	869	881	696	618	693
MIR1178	0	0	0	0	0
RAB35	1871	1871	2523	2344	2508
GCN1L1	4117	4247	5057	4662	4895
MIR4498	0	0	0	0	0
RPLP0	24150	25464	31303	27329	29892
PXN	7097	7231	7193	6145	6924
PLA2G1B	0	1	0	0	0
MSI1	2	0	0	0	0
TRIAP1	747	729	693	554	692
SRSF9	2006	2085	2453	2014	2397
DYNLL1-AS1	93	105	122	112	138
COQ5	460	475	461	364	453
POP5	159	209	160	146	170
SPPL3	1245	1240	1628	1296	1494
HNF1A-AS1	0	0	2	0	0
C12orf43	355	307	395	325	389
OASL	52	51	69	66	59
CAMKK2	1472	1509	2180	1961	2177
ANAPC5	2772	2766	2872	2366	2649
KDM2B	646	654	657	576	599
MIR7107	0	0	0	0	0
MORN3	9	7	7	4	7
RHOF	410	444	740	647	690
LINC01089	179	172	87	61	58
HPD	1	0	4	1	1
IL31	0	0	0	0	0
DIABLO	846	837	978	791	937
VPS33A	642	613	622	546	631
CLIP1	3224	3100	1382	1219	1325
ZCCHC8	437	414	265	194	262
RSRC2	889	812	428	349	409
HCAR2	2	0	1	0	0
HCAR3	0	0	0	1	0
HCAR1	2	2	0	0	0
VPS37B	856	868	1428	1336	1412
ABCB9	109	106	130	90	104
PITPNM2	943	973	1177	1037	1128
MIR4304	0	0	1	0	0
MPHOSPH9	375	333	61	69	64
CDK2AP1	5078	5079	5999	4989	5795
SBNO1	1440	1300	576	481	545
MIR8072	5	8	3	4	1
RILPL2	237	246	304	228	250
RILPL1	577	522	546	492	463
LOC101927415	10	10	1	4	3
EIF2B1	768	791	781	671	715
CCDC92	979	817	1026	964	1052
NCOR2	3129	3050	3821	3766	3528
MIR6880	0	0	0	0	0
SCARB1	1696	1680	2094	1853	1970
UBC	33588	34712	45234	39035	43851
DHX37	594	596	865	809	798
THRIL	87	75	65	61	71
LINC00939	0	0	0	0	0
LOC100996671	0	0	0	0	0
LINC00944	0	0	0	0	0
LOC440117	0	0	0	0	0
LOC101927592	0	0	0	0	0
LOC101927616	0	1	0	0	0
LOC101927637	0	0	0	0	0
LOC100996679	0	0	0	0	0
SLC15A4	590	615	719	606	701
TMEM132D	0	0	0	0	0
LOC100190940	0	0	0	0	0
FZD10-AS1	0	2	0	0	0
RIMBP2	0	0	0	0	0
STX2	1133	1143	868	741	908
DDX51	331	299	313	324	294
GALNT9	1	0	0	0	2
LRCOL1	2	0	0	0	0
POLE	869	859	844	714	804
ANKLE2	2551	2586	3185	2800	3069
GOLGA3	3095	3068	3414	3099	3285
CHFR	986	1018	1142	1023	1122
ZNF605	373	366	92	67	79
LOC101928597	0	0	0	0	0
ZNF891	19	21	11	5	10
ANHX	0	0	0	0	0
LINC00408	0	0	0	0	0
LINC00442	0	0	0	0	0
RNU6-52P	0	0	0	0	0
LINC00421	0	0	0	0	0
MPHOSPH8	1138	1048	534	423	550
ZMYM2	1438	1372	409	318	409
IFT88	190	188	58	46	62
IL17D	231	215	262	249	255
SAP18	1441	1412	1545	1254	1432
MRPL57	335	329	407	348	376
MIPEPP3	95	94	50	36	55
FGF9	0	0	0	0	0
LINC00540	0	0	0	0	0
SGCG	1	1	0	1	0
SACS-AS1	0	0	1	0	0
LINC00327	1	2	0	0	1
TNFRSF19	32	40	33	33	29
C1QTNF9B-AS1	10	19	11	8	7
SPATA13	441	390	373	362	402
MIR2276	0	0	0	0	0
C1QTNF9	0	0	0	0	0
TPTE2P6	0	2	2	0	0
ATP12A	0	0	0	0	0
RNF17	0	1	0	0	0
PABPC3	1	1	0	1	0
LOC102723318	0	0	0	0	0
NUPL1	883	829	702	592	722
ATP8A2	10	8	12	8	17
CDK8	300	302	270	203	248
WASF3	176	191	100	88	97
USP12-AS1	0	0	0	0	0
USP12-AS2	8	6	2	1	1
RPL21	8168	7394	7463	6174	7385
SNORD102	9	9	4	1	3
SNORA27	8	6	3	1	2
RASL11A	8	17	6	9	9
GTF3A	1035	979	1034	907	989
POLR1D	978	1006	976	849	1030
GSX1	0	0	0	0	0
PDX1	0	0	0	0	0
ATP5EP2	0	0	0	0	0
PAN3	506	515	266	229	287
POMP	1479	1486	1431	1269	1389
MTUS2	0	0	0	0	0
LINC00544	0	0	0	0	0
USPL1	515	501	191	165	206
ALOX5AP	9	17	20	8	15
LINC00398	0	0	0	0	1
LINC00545	0	0	0	0	0
MEDAG	163	180	182	142	179
TEX26	1	0	0	0	0
B3GALTL	581	634	558	449	524
RXFP2	0	0	0	0	0
EEF1DP3	0	1	1	0	1
FRY	469	477	280	221	264
BRCA2	246	242	32	28	39
PDS5B	708	684	185	160	196
KL	0	1	2	4	1
STARD13-AS	4	0	1	1	3
RFC3	144	142	80	68	95
NBEA	101	97	46	27	42
SPG20OS	15	20	9	5	5
CCNA1	616	640	579	492	553
SERTM1	2	2	1	1	1
RFXAP	101	111	65	55	65
EXOSC8	373	407	270	194	239
LINC00547	0	0	0	0	0
UFM1	1283	1234	822	661	797
LINC00366	0	0	0	0	0
FREM2	0	0	0	0	0
NHLRC3	263	279	104	89	135
COG6	548	571	206	174	226
LINC00332	0	0	0	0	0
SLC25A15	209	232	281	218	234
MIR621	0	0	0	0	0
WBP4	497	465	254	193	231
LOC101929140	3	3	1	0	3
NAA16	283	253	104	89	92
OR7E37P	1	4	2	2	1
RGCC	2277	2281	3356	2891	3222
VWA8-AS1	0	0	0	0	0
DGKH	317	336	152	143	168
AKAP11	1563	1559	346	302	396
TNFSF11	4	9	7	4	9
FAM216B	0	0	0	0	0
DNAJC15	647	642	671	517	666
LINC00400	1	3	1	1	0
ENOX1-AS2	0	0	0	0	0
LACC1	365	383	168	134	157
LINC00284	0	0	0	0	0
SMIM2-AS1	2	3	1	1	1
SERP2	3	0	3	2	1
TSC22D1-AS1	56	53	47	63	57
GPALPP1	211	234	179	128	178
LOC101929259	1	2	0	0	0
GTF2F2	565	546	380	285	363
TPT1-AS1	87	90	58	52	44
SLC25A30-AS1	9	16	9	7	9
COG3	643	571	389	304	371
SPERT	0	0	0	0	0
CPB2-AS1	1	4	2	1	1
LRRC63	0	0	0	0	0
LRCH1	938	829	693	562	683
HTR2A-AS1	0	0	0	0	0
NUDT15	398	403	325	236	315
MED4-AS1	235	226	165	133	165
ITM2B	5987	5973	6000	4688	5942
RB1	1384	1347	689	552	752
CYSLTR2	1	2	0	0	1
FNDC3A	1824	1818	891	718	985
MLNR	0	0	0	1	0
CDADC1	126	118	56	72	78
SETDB2	204	208	62	52	59
PHF11	319	285	213	193	237
ARL11	32	26	30	35	33
CTAGE10P	0	0	0	0	0
TRIM13	643	660	496	405	488
KCNRG	0	0	0	0	0
DLEU1	90	77	35	39	33
ST13P4	0	0	1	0	1
DLEU7-AS1	0	0	0	0	0
RNASEH2B	174	173	107	110	119
FAM124A	200	197	221	227	230
SERPINE3	4	2	1	0	0
INTS6-AS1	6	4	4	4	3
MIR4703	0	0	0	0	0
WDFY2	104	114	114	89	126
CCDC70	1	1	1	0	0
ALG11	142	123	76	64	103
UTP14C	0	0	0	0	0
LOC101929657	2	0	0	1	2
LOC103191607	0	0	0	0	0
CKAP2	1436	1255	404	287	385
TPTE2P3	0	1	0	1	0
HNRNPA1L2	135	152	88	96	86
SUGT1	959	939	720	615	698
MIR759	0	0	0	0	0
OLFM4	0	0	0	0	0
LINC00558	0	0	0	0	0
MIR5007	0	0	0	0	0
PRR20A	0	0	0	0	0
PRR20B	0	0	0	0	0
PRR20C	0	0	0	0	0
PRR20E	0	0	0	0	0
PCDH17	94	102	169	181	190
LOC101926897	0	0	0	0	0
DIAPH3-AS1	52	34	16	15	17
DIAPH3-AS2	0	0	0	0	0
TDRD3	176	183	73	69	95
LINC00378	0	0	0	0	0
OR7E156P	0	0	0	0	0
PCDH9-AS2	0	0	0	0	0
PCDH9-AS3	0	0	0	0	0
PCDH9-AS4	0	0	0	0	0
ATXN8OS	0	0	0	0	0
LINC00348	0	0	0	0	0
BORA	193	203	100	78	96
PIBF1	339	308	73	64	65
KLF5	197	186	184	124	172
LINC00392	0	0	0	0	0
LINC00381	0	0	0	0	0
LINC00347	0	0	0	0	0
UCHL3	535	554	500	397	496
LMO7	375	348	186	169	180
LMO7DN	0	0	0	0	0
BTF3P11	0	0	0	0	0
IRG1	0	0	2	0	0
CLN5	877	886	794	580	753
MYCBP2-AS1	156	162	68	64	86
SCEL	3	1	0	0	0
SLAIN1	15	10	5	8	14
EDNRB-AS1	1	1	0	2	0
LINC00446	0	0	0	0	0
RNF219-AS1	185	199	56	33	57
RBM26-AS1	16	18	14	8	16
NDFIP2	409	333	280	231	282
LINC00382	0	0	0	0	0
LINC01080	0	0	0	0	0
LINC00333	0	0	0	0	0
LINC00351	0	0	0	0	0
SLITRK5	0	1	2	0	0
LINC00433	0	0	0	0	0
MIR622	0	0	0	0	0
LINC01049	0	0	0	0	0
MIR17HG	32	32	6	5	3
MIR17	0	0	0	0	0
MIR18A	0	0	0	0	0
MIR19A	0	0	0	0	0
MIR20A	0	0	0	0	0
MIR19B1	0	0	0	0	0
MIR92A1	0	0	0	0	0
GPC5	5	4	4	0	3
GPC6	1	0	0	0	0
GPR180	986	980	423	345	416
SOX21-AS1	1	1	3	0	1
LOC101927284	0	0	0	0	0
CLDN10	8	4	1	1	3
DNAJC3	2333	2311	1304	1090	1247
HS6ST3	2	5	4	6	8
MBNL2	2365	2407	685	541	715
RAP2A	1433	1425	935	762	875
IPO5	3834	3909	3112	2594	3087
FARP1	1146	1163	1371	1173	1281
MIR3170	0	0	0	0	0
DOCK9-AS1	0	2	0	0	0
DOCK9-AS2	8	6	11	1	7
UBAC2	721	703	918	734	888
FKSG29	0	0	1	0	0
MIR623	0	0	0	0	0
TM9SF2	4435	4258	4555	3735	4670
CLYBL	14	11	11	8	12
MIR4306	0	0	0	0	0
ZIC2	2	0	0	0	0
PCCA	246	271	192	152	184
NALCN-AS1	1	9	4	2	3
ITGBL1	395	390	298	252	276
FGF14-AS2	1	3	0	2	1
TPP2	918	878	430	318	420
BIVM	154	156	50	42	71
BIVM-ERCC5	0	0	0	0	0
ERCC5	36	36	11	17	14
METTL21EP	0	3	0	0	1
DAOA	0	0	0	0	0
LINC00343	0	0	0	0	0
LINC00460	3	6	11	5	4
LINC00551	1	0	0	0	0
LINC00443	0	0	0	0	0
ABHD13	395	327	258	191	256
TNFSF13B	6	2	1	1	2
MYO16	0	0	0	2	1
LINC00676	0	0	0	0	0
COL4A2	61395	63151	98474	89023	93614
MIR8073	0	0	0	0	0
CARKD	612	557	560	494	556
ING1	177	167	192	143	172
LINC00368	0	0	0	0	0
ARHGEF7	3165	3150	3785	3054	3643
TEX29	1	1	1	1	0
LINC00354	0	0	0	0	0
LINC00403	0	0	0	0	0
SOX1	0	0	0	0	0
LINC01070	0	0	0	0	0
SPACA7	0	0	0	0	0
ATP11AUN	0	0	0	0	0
ATP11A	3011	3266	3783	3388	3610
MCF2L	29	50	55	56	54
F7	0	0	0	0	0
F10	3	0	3	2	3
PROZ	0	2	0	1	1
CUL4A	2395	2277	1897	1615	1847
MIR8075	2	2	0	0	1
LAMP1	16452	15816	21578	19256	20807
GRTP1-AS1	0	0	0	0	0
TMCO3	2126	1992	2197	1913	2098
TFDP1	2367	2250	2462	2097	2355
GRK1	0	0	0	0	0
TMEM255B	900	878	1079	960	1008
GAS6-AS1	193	220	315	303	278
GAS6-AS2	10	13	9	3	12
LINC00452	0	0	0	0	0
CDC16	1621	1523	1279	967	1163
UPF3A	1019	899	599	509	575
CHAMP1	463	452	449	386	457
LINC00417	0	0	0	0	0
ANKRD20A9P	139	127	36	38	48
TUBA3C	0	0	0	0	0
ANKRD26P3	0	0	0	0	0
TPTE2	0	1	0	0	1
PSPC1	714	608	691	535	656
ZMYM5	270	229	114	85	113
GJA3	0	0	0	1	0
GJB2	0	0	1	0	0
GJB6	0	1	0	0	0
CRYL1	601	624	763	654	728
MIR4499	1	0	0	0	0
N6AMT2	141	157	144	99	135
XPO4	1766	1824	681	481	637
LINC00367	0	2	0	1	1
LATS2	1870	1875	2649	2286	2558
SKA3	257	258	123	132	158
LINC00539	3	2	2	1	1
ZDHHC20	1598	1545	836	683	807
MICU2	607	621	315	246	285
LINC00424	0	0	0	0	0
BASP1P1	0	0	0	0	0
SACS	2890	2939	667	490	649
MIPEP	303	292	357	320	385
C1QTNF9B	11	6	10	4	15
ANKRD20A19P	0	0	0	0	0
SPATA13-AS1	1	0	0	0	0
PARP4	3430	3330	1809	1531	1853
CENPJ	345	333	107	84	89
TPTE2P1	1	2	0	1	1
AMER2	0	0	0	0	0
LOC101928922	0	0	0	0	0
MTMR6	1085	1186	836	637	767
SHISA2	14	12	16	12	27
RNF6	1179	1101	397	329	416
GPR12	0	0	0	0	0
USP12	1323	1213	929	731	865
LINC00412	0	2	0	0	0
MTIF3	523	468	315	238	280
LNX2	483	455	365	301	394
PDX1-AS1	0	0	0	0	0
CDX2	0	0	0	0	0
URAD	0	0	0	0	0
FLT3	0	0	1	0	0
PAN3-AS1	36	39	22	21	15
FLT1	2676	2648	2063	1689	2032
SLC46A3	88	93	90	61	84
MTUS2-AS1	0	0	0	0	0
SLC7A1	1794	1858	3042	2671	2931
UBL3	530	543	377	321	361
LINC00297	0	0	0	0	0
LINC00572	0	0	0	0	0
KATNAL1	831	760	413	357	394
LINC00426	13	8	7	7	6
HMGB1	9008	8569	6044	4954	5730
TEX26-AS1	0	0	0	0	1
HSPH1	3292	3159	1560	1336	1603
FRY-AS1	2	0	0	0	0
ZAR1L	0	0	0	0	0
N4BP2L1	22	19	11	18	18
N4BP2L2	817	877	217	186	233
MINOS1P1	1	1	1	0	0
N4BP2L2-IT2	30	25	2	3	3
LINC00423	0	0	0	0	0
STARD13	926	999	1106	948	1068
LINC00457	0	0	0	0	0
MAB21L1	0	0	0	0	0
MIR548F5	1	0	0	0	0
DCLK1	186	208	90	92	84
SOHLH2	0	0	0	0	0
CCDC169-SOHLH2	0	0	0	0	0
CCDC169	3	3	2	1	2
SPG20	2815	2890	1549	1297	1536
SMAD9	107	76	45	46	47
ALG5	361	332	220	199	224
SUPT20H	1052	944	637	513	587
CSNK1A1L	0	0	0	0	0
POSTN	4752	4686	1771	1469	1740
TRPC4	1	1	2	0	1
LINC00571	3	7	4	1	2
STOML3	0	0	0	0	0
PROSER1	1046	1054	1037	890	1028
LHFP	386	394	421	361	450
MIR4305	0	0	0	0	0
LINC00548	0	0	0	0	0
LINC00598	8	15	5	5	9
FOXO1	1472	1533	1479	1260	1513
MIR320D1	0	0	0	0	0
MRPS31	195	200	127	108	123
TPTE2P5	29	26	33	34	40
SUGT1P3	3	1	2	0	2
ELF1	1420	1342	1056	904	1054
KBTBD6	225	249	186	136	187
KBTBD7	91	94	69	57	57
MTRF1	153	143	60	49	52
VWA8	225	215	172	129	157
MIR5006	0	0	0	0	0
EPSTI1	129	106	79	69	84
ENOX1	4	10	6	1	4
CCDC122	69	54	33	17	32
SMIM2	2	0	2	0	2
SMIM2-IT1	0	0	0	0	0
MIR8079	0	0	0	0	0
TUSC8	0	0	0	0	0
TSC22D1	1589	1632	1808	1470	1771
LINC00330	0	1	1	0	0
NUFIP1	166	160	132	117	141
KCTD4	2	6	7	6	6
TPT1	38125	36350	40018	32548	38938
SNORA31	0	4	0	0	1
SLC25A30	680	702	419	297	362
ERICH6B	0	0	0	0	0
SIAH3	1	0	0	1	0
ZC3H13	1611	1278	737	650	748
CPB2	0	1	0	1	0
LCP1	14	36	53	39	53
LINC00563	0	0	0	0	0
KIAA0226L	1	0	0	0	0
LOC101929344	0	0	0	0	0
ESD	1240	1238	1004	867	1067
HTR2A	0	0	0	0	0
SUCLA2	502	473	278	191	236
MED4	539	534	409	315	415
LINC00441	0	0	0	0	0
LPAR6	249	215	124	124	129
RCBTB2	190	200	168	119	140
LINC00462	0	0	0	0	0
CAB39L	163	153	92	78	120
RCBTB1	1062	1147	755	661	717
EBPL	339	353	420	360	372
KPNA3	2392	2436	1271	1003	1309
SPRYD7	235	265	269	210	233
DLEU2	57	49	43	33	42
MIR3613	0	0	0	0	0
MIR16-1	0	0	0	0	0
MIR15A	0	0	0	0	0
DLEU7	0	0	0	0	0
RNASEH2B-AS1	0	1	0	0	1
GUCY1B2	0	1	0	1	0
LINC00371	0	0	0	0	0
MIR5693	1	0	0	0	0
INTS6	676	599	382	279	370
DHRS12	104	122	124	108	111
LINC00282	1	0	0	0	0
ATP7B	387	404	404	354	386
NEK5	7	7	3	1	3
NEK3	172	152	64	78	78
MRPS31P5	44	32	26	14	26
THSD1	982	979	732	655	716
VPS36	410	385	214	190	206
LECT1	0	0	0	0	0
PCDH8	0	0	0	0	0
LINC00458	0	0	0	0	0
MIR1297	0	0	0	0	0
DIAPH3	676	758	271	241	262
MIR3169	0	0	0	0	0
PCDH20	0	0	0	0	0
LINC00358	0	0	0	0	0
LINC00448	0	0	0	0	0
LINC00395	0	0	0	0	0
PCDH9	68	65	24	23	32
LINC00550	0	0	0	0	0
KLHL1	0	1	0	0	0
